C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117889584	5608.86385419464	5027.25901394895	5693.99935076224	6615.84708768375	7241.16038759067	5719.16089044324	4404.67842521364	6592.4268644359	6246.49735061382	6166.44566121003	6295.23919017437	5637.47995261905
gene-LOC117889583	15082.9930788399	15268.9292182197	13657.1215364778	12828.7272237871	12394.1478807382	12188.670609777	12127.8370329488	11703.1651321175	12053.7960649692	12128.6480214691	12719.5880131945	12492.0146955193
gene-LOC117889585	13.2476798881777	7.23792947298286	29.9792994139624	12.2971135458806	6.27392957769588	21.1663985582651	19.6176488699154	20.802264919333	6.30428664485835	18.7223025871682	15.5664096338857	18.4869082068032
gene-LOC117894309	3569.74020371436	4577.4733966993	3781.5268019405	2542.66470856361	1899.95500711224	3006.68691520156	5607.55005329004	2046.1864220653	2555.33752004925	2419.43210251451	2671.92843009874	3136.61209242095
gene-LOC117894395	17.3238890845401	11.3738891718302	21.70914785149	20.8104998468748	9.41089436654383	20.1080786303519	27.8777115519851	23.638937408333	18.9128599345751	18.7223025871682	10.072382704279	10.2705045593351
gene-LOC117894248	0	0	0	0	0	0	1.03250783525871	1.89111499266664	0	0	1.83134230986891	0
gene-LOC117893770	6.11431379454358	8.2719193976947	5.16884472654524	12.2971135458806	6.27392957769588	20.1080786303519	4.13003134103483	12.2922474523331	18.9128599345751	13.616220063395	10.072382704279	6.16230273560108
gene-LOC117892238	19.3619936827213	35.1556574402025	21.70914785149	10.4052499234374	41.8261971846392	13.7581590628723	19.6176488699154	25.5300524009996	24.1664321386237	33.1895364045254	48.530571211526	36.9738164136065
gene-LOC117902179	61.1431379454358	70.3113148804049	20.675378906181	19.8645680356532	18.8217887330877	51.8576764677496	33.0402507282786	57.6790072763325	50.4342931588668	37.4446051743364	54.0245981411328	10.2705045593351
gene-LOC117892263	73.3717655345229	75.4812645039641	73.3975951169425	72.8367494640618	74.2415000027346	98.4237532959329	94.990720843801	86.045732166332	106.122158521782	84.2503616422569	120.868592451348	77.0287841950135
gene-LOC117898513	2819.71771158368	2845.54027280698	2565.81452225706	2676.98702575708	2851.50099306278	2409.79447585849	2113.54353877457	2544.49522263296	2388.27392396051	2794.72916801183	2725.03735708493	2760.71162554928
gene-LOC117898613	7.13336609363417	10.3398992471184	2.0675378906181	1.89186362244316	4.18261971846392	2.11663985582651	8.26006268206965	0.945557496333319	4.2028577632389	6.80811003169752	3.66268461973781	12.3246054712022
gene-LOC117898579	40139.4510088795	40811.5823283762	45606.7845601993	52641.1052944811	55587.0160583855	46698.3668191725	36190.4321336529	52910.5608223235	50551.9731762375	47472.9512510268	50138.4897595909	44230.9549352327
gene-LOC117898557	14129.1601268911	13837.8871624185	13808.051802493	16828.1269216319	16732.5701837149	15936.1814745178	12523.2875338529	17003.9604565621	15987.6709313608	14958.2687533934	15916.1960150707	14898.3939137715
gene-LOC117898460	2194.01959994205	2252.03005602238	2117.15879999293	2089.56337098848	1984.65305641113	1910.26746988343	1671.63018528385	1537.47648903798	2169.72532027208	1968.39481291455	1853.31841758733	2181.45516840278
gene-LOC117898580	2015.6854476012	1419.66816662935	1532.04557694801	2101.86048453436	2358.99752121365	1824.54355572246	1184.28648704174	2112.37544680863	1898.64099454317	2395.60371740357	2031.87429279955	1755.22922919037
gene-LOC117898550	489.145103563486	454.955566873208	442.453108592273	419.993724182383	498.777401426823	545.034762875327	319.04492109494	512.492163012659	581.045085767778	541.244747519953	571.378800679099	562.823649851565
gene-LOC117898586	1748.69374523946	1457.92579384369	1434.87129608896	1899.43107693294	2226.19934515242	1867.9346727669	1091.36078186845	2138.85105670597	1672.73738976908	2053.49618831077	1937.5601638413	1831.23096292945
gene-LOC117898434	37.704935066352	31.0196977413551	41.3507578123619	28.3779543366475	36.5979225365593	44.4494369723568	26.8452037167264	29.3122823863329	51.4850075996766	41.6996739441473	43.0365442819193	32.8656145898724
gene-LOC117898574	702.127034073421	637.971783547204	655.409511325937	694.313949436641	826.067394396625	720.715870908928	599.887052285309	818.852791824654	785.934401725675	776.97555736748	763.669743215334	707.637764138191
gene-LOC117898502	2245.99126719567	1927.35721966286	1922.81023827483	2339.28936915097	2456.24342966794	2219.2968888341	1474.42118874943	2267.4468762073	2267.44176326739	2376.8814148164	2306.57563927989	2279.02496171647
gene-LOC117898518	373.992193766249	347.420614703177	296.691687303697	303.644111402128	380.618394380217	348.187256283462	376.865359869428	339.455141183662	329.924334414254	383.807203036948	340.629669635617	334.818448634325
gene-LOC117898421	10538.0198248959	13347.7759381051	10389.3779003559	6537.33474735236	5229.32030300952	6738.32298102371	10976.5907966353	5171.25394744692	6417.7638044658	5970.71249779873	6669.74869254256	7943.20822618979
gene-LOC117898541	3319.05333813807	3247.76235351988	3453.82204627753	3725.07947259059	4018.45189451421	3493.51408204166	2664.90272280272	3931.62806975394	3560.87123990416	3769.13991629854	3945.62700661256	3673.75948087418
gene-LOC117898528	4979.08953335665	4755.31966374974	4328.39057400899	4859.25171424527	5506.41885935775	4107.33964023135	4139.32391155216	5330.10760683092	4105.1413202436	5028.64027216258	5114.02340030892	4519.02200610746
gene-LOC117898596	12826.8112886533	11221.8926528976	13089.5823855032	15161.3950702595	16218.1079583439	13188.782941655	10755.6341198899	16617.2274405617	14592.3221539655	15096.1329815353	15887.8102092677	13856.964751455
gene-LOC117898426	5249.13839261566	5091.36638928109	5050.99506678001	4350.34039980806	3516.53752829854	4451.29361680316	6151.68168247138	3873.00350498127	4390.93564814384	4000.61565737626	3832.08378340069	4269.44874531561
gene-LOC117898487	10625.6583226176	10277.8598516357	9908.67534078723	11156.3197815473	11985.2968032584	9595.7867863895	7782.01155434487	10680.0719210848	9972.33075772511	10797.6625102723	10792.1002320575	10473.86054961
gene-LOC117898397	5552.81597774466	7629.81165444865	5569.94707732515	2940.9020010879	2046.34669725847	2754.80677235821	6299.33030291337	2143.57884418763	2598.41681212245	2319.86349330093	2810.19477449384	3375.91484865346
