C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117896600	2081.18451781272	2315.2594331731	2438.24257909837	2630.65755666612	2312.37818905673	2491.39154647403	2358.37522552721	2420.02237253303	2069.57369713884	2131.59456509877	2107.13276807773	2021.52777543699
gene-LOC117894609	6543.72439735345	6474.93467440765	7574.23659659095	6910.61625997039	5569.23565468313	7052.47667962621	6198.98627982088	6809.50440860452	5878.70261521571	6350.66272111574	7071.34325194962	6203.56984345235
gene-LOC117902127	15.7984654692261	16.6965824507675	35.1715303807562	25.5619449950658	34.7373093768165	16.0245224722432	22.0035008318908	28.0350130041062	18.8865995416129	20.2221131660944	8.09657163526505	57.0467047968365
gene-LOC117889573	11969.970670517	12465.668457743	14283.4436621957	11715.1505301299	10668.1093634802	13107.2159863754	12397.9725596418	13531.9000268034	11502.9331523971	12978.9199047842	12623.5672508326	12167.543526758
gene-LOC117889574	5492.59982813427	7517.91452483226	6386.95980076488	8927.78713675493	9279.55583460688	8078.88951376937	8378.33302130679	8195.23505137891	8423.42339555934	6523.46986998964	5206.09556147543	7119.4287586452
gene-LOC117903560	5450.470586883	6133.21128691528	5850.8316079339	8314.30045687335	8505.00772012381	8194.43475475344	9133.45316349213	10097.6109338004	8660.99693716174	6175.09801135556	5338.67692200289	7000.14928497908
gene-LOC117903561	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117901271	1132.22335862787	1212.17188592572	1243.36112805484	1219.19363737335	985.788509342091	1165.5731608758	1086.17281379243	1048.30923626069	1083.49439475569	1310.76060794776	1378.44132090388	1186.5714597742
gene-LOC117901264	7096.67068877636	5915.04260955858	6273.84055440516	5668.08345542763	5936.32451863813	5837.1431594945	5804.92358310429	5587.97884199703	6516.87087341127	7361.76837942046	7622.92219460205	7336.20623687317
gene-LOC117892203	5060.77510530876	4441.29093190417	4582.75535042231	5779.22234671052	5290.39833346922	5541.95458763738	4872.77527513509	5120.39487510712	4643.1213925723	4262.26994323545	3641.43309296046	4090.76734034042
gene-LOC117892210	0	0	0	0	0	0	0	0	0	0	0	2.07442562897587
gene-LOC117901014	18.9581585630713	12.2441604638962	11.4069828261912	6.66833347697368	7.51076959498736	10.120751035101	18.0028643170016	21.0262597530797	7.95225243857384	0	9.10864308967318	14.5209794028311
gene-LOC117901031	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117902670	0	1.11310549671784	1.9011638043652	0	0.93884619937342	0	3.00047738616693	2.00250092886473	0	0	0	0
gene-LOC117889582	3518.84487551229	4058.38264103323	4195.86851623399	4351.08759372532	3577.00401961273	3849.25897701674	3452.54931234941	3617.51792799414	3037.76043153521	3468.09240798519	3204.21822465614	3322.19264480486
gene-LOC117889584	5632.67955529474	6185.52724526101	6254.8289163615	6117.08457621052	4997.47831926471	6107.87324968345	5504.87584448759	4868.07975807016	5475.12580395809	6428.79361289383	7008.59482177631	5605.09804949281
gene-LOC117889583	13807.8588201036	12789.5821572879	13487.8066100689	15563.8903352566	12819.944852444	14943.2889033266	14803.3552642189	14785.4656082727	13132.1508707499	12466.0135799351	11996.0829490996	11945.5799844576
gene-LOC117889585	11.5855413440991	12.2441604638962	12.3575647283738	6.66833347697368	19.7157701868418	10.120751035101	13.00206867339	7.00875325102656	28.8269150898302	11.9494305072376	6.07242872644879	20.7442562897587
gene-LOC117894309	2536.18032332643	2912.99708491058	2908.78062067875	3923.20286228618	4384.41175107387	3377.80065796496	3503.55742791425	4432.53580604208	3636.16742753789	2470.7745541119	1838.93383265958	2946.72160596023
gene-LOC117894395	15.7984654692261	17.8096879474854	22.8139656523824	18.8936115180921	51.6365409655381	19.3981061506102	17.0027051882793	11.013755108756	20.8746626512563	20.2221131660944	9.10864308967318	19.7070434752708
gene-LOC117894248	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117893770	38.9695481574244	31.1669539080994	24.7151294567476	43.3441676003289	23.4711549843355	25.3018775877525	6.00095477233386	8.01000371545893	4.97015777410865	11.9494305072376	6.07242872644879	19.7070434752708
gene-LOC117892238	27.3840068133252	44.5242198687134	37.0726941851214	41.121389774671	70.4134649530065	32.8924408640782	19.0030234457239	34.0425157907004	20.8746626512563	10.1110565830472	40.4828581763253	13.4837665883432
gene-LOC117902179	16.8516965005078	25.6014264245102	19.9622199458346	46.6783343388157	38.4926941743102	12.6509387938762	60.0095477233386	68.0850315814009	19.8806310964346	19.3029262039992	18.2172861793464	50.8234279099089
gene-LOC117892263	35.8098550635791	33.3931649015351	81.7500435877035	78.9086128108552	70.4134649530065	55.6641306930554	72.0114572680063	73.0912839035627	70.5762403923429	70.7773960813305	71.8570732629773	96.4607917473781
gene-LOC117898513	4005.43761196446	2585.74406887553	2673.03630893747	2810.7025605444	2276.70203348054	2841.4008531046	2767.44030917463	2755.44127811787	2467.18631906753	2601.29910272942	2759.91885617097	2361.73357858903
gene-LOC117898613	5.2661551564087	5.56552748358918	2.8517457065478	5.55694456414473	6.57192339561394	1.6867918391835	7.00111390105617	10.0125046443237	1.98806310964346	1.8383739241904	4.04828581763253	2.07442562897587
gene-LOC117898579	50662.5190667142	47745.5471762149	45891.2424916693	41235.8628326924	38141.5656957445	41700.0244523749	39395.2679212431	39519.3558311455	43853.6901040703	51152.7544405979	53801.7185163363	45767.0154392802
gene-LOC117898557	15511.9866287175	15262.902570995	15921.2962796564	14759.2447623684	14095.8368373925	14277.8495227687	13867.2063197348	13399.7349654983	13277.2794777539	16352.3360556736	16195.1674134389	15618.3505605593
gene-LOC117898460	1775.74751874101	1823.26680362382	2283.2977290426	1732.65531510033	1774.41931681576	2323.55575847527	2153.34260413913	2180.72351153369	2035.7766242749	2030.4839992683	1920.91162046663	1872.16913015073
gene-LOC117898580	2305.52272747573	2206.17509449475	2039.94876208386	1788.22476074177	1798.82931799947	1899.32761092062	1978.31475661273	1374.71688766564	1473.1547642458	2042.43342977554	2283.23320114474	1788.1548921772
gene-LOC117898550	379.163171261426	369.551024910322	434.415929297448	328.971118197368	312.635784391349	365.190433183227	480.076381786709	440.550204350241	425.445505463701	408.119011170269	482.758083752679	534.164599461287
gene-LOC117898586	2383.46182379058	2002.47678859539	1902.11438626738	1767.10837139802	1324.7119873159	1766.07105562512	1716.27306488748	1411.76315484964	1379.71579809256	1845.72741988716	2154.70012643491	1830.68061757121
gene-LOC117898434	47.3953964076783	30.0538484113816	42.776185598217	17.7822226052631	22.5323087849621	16.0245224722432	37.0058877627255	30.037513932971	39.7612621928692	27.575608862856	35.4225009042846	43.5629382084933
gene-LOC117898574	662.482318676214	725.744783860029	687.270715278019	642.382791615131	551.102719032197	667.969568316665	689.109639689671	617.77153655477	630.216005756977	674.683230177877	799.536448982424	706.341926666285
