C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117889585	11.3879217446417	11.9972887508814	12.0575819534874	11.791784201884	6.12136312583177	20.3050054610819
gene-LOC117894309	2492.91959646338	2854.26406009607	2838.16929059012	2438.17814882032	1853.75279993939	2884.32602574669
gene-LOC117894395	15.5289841972387	17.4506018194639	22.260151298746	19.9553271108806	9.18204468874765	19.2897551880278
gene-LOC117894248	0	0	0	0	0	0
gene-LOC117893770	38.304827686522	30.5385531840618	24.1151639069749	11.791784201884	6.12136312583177	19.2897551880278
gene-LOC117892238	26.9169059418804	43.6265045486598	36.1727458604623	9.9776635554403	40.8090875055451	13.1982535497033
gene-LOC117902179	16.5642498103879	25.0852401154794	19.4776323864028	19.0482667876588	18.3640893774953	49.7472633796507
gene-LOC117892263	35.1990308470743	32.7198784114948	79.76554215384	69.8436448880821	72.4361303223426	94.418275394031
gene-LOC117898513	3937.11512680658	2533.60925166342	2608.14772716974	2566.98071471782	2782.15954069054	2311.72487174418
gene-LOC117898613	5.17632806574622	5.45331306858247	2.78251891234325	1.81412064644369	4.08090875055451	2.03050054610819
gene-LOC117898579	49798.346523705	46782.8821527553	44777.2218437318	50477.9069872957	54235.2772948695	44797.918298512
gene-LOC117898557	15247.3919504621	14955.1657592806	15534.8030876124	16136.6031501166	16325.6754565933	15287.6386116486
gene-LOC117898460	1745.45782376963	1786.50536126762	2227.87014248283	2003.69625399706	1936.39120213812	1832.52674286264
gene-LOC117898580	2266.1964271837	2161.69330038609	1990.42852862954	2015.48803819894	2301.63253531274	1750.29147074526
gene-LOC117898550	372.695620733728	362.099987753876	423.870380980289	402.734783510499	486.648368503625	522.85389062286
gene-LOC117898586	2342.80608255674	1962.10204207597	1855.94011453295	1821.37712902947	2172.06368248264	1791.91673194048
gene-LOC117898434	46.586952591716	29.4478905703454	41.7377836851488	27.2118096966554	35.707951567352	42.6405114682721
gene-LOC117898574	651.182070670875	711.112024143154	670.587057874724	665.782277244835	805.979478234516	691.38543594984
gene-LOC117898502	2277.58434892834	2453.99088086211	2440.26908612503	2243.16017932762	2396.51366376314	2128.97982259444
gene-LOC117898518	388.224604930967	323.926796273799	306.077080357758	291.166363754212	371.362696300461	334.017339834798
gene-LOC117898421	5905.15505740329	6380.37629024149	7152.00111102628	6268.69389378618	5102.15616538078	6464.09848853543
gene-LOC117898541	3635.85283338015	3661.35439424627	3986.42209508377	3572.00355284763	3920.73308209525	3351.34115135157
gene-LOC117898528	4655.58946233215	5033.40796230162	4573.5335855882	4659.56888039062	5372.51637010501	3940.18630972295
gene-LOC117898596	16296.1160165823	14422.9224037869	14415.3029785463	14538.3628605997	15823.7236802751	12652.0489028002
gene-LOC117898426	3425.69391391085	3862.03631517011	3781.44320187448	4171.57042649727	3431.02403202871	4270.14264846553
gene-LOC117898487	10679.8000652476	10965.5219183056	10900.0540859526	10697.8694520784	11693.844024714	9205.27422578149
gene-LOC117898397	2600.5872202309	2469.26015745414	2946.68752817151	2820.05054489672	1996.58460620879	2642.69646075981
gene-LOC117898442	43968.7658560616	39327.1125253894	39842.8883058431	42116.6249278367	43971.7917872249	39482.0678688008
gene-LOC117898452	3547.85525626246	2770.2830388399	3240.70702657578	4430.08261861549	4533.88962186606	4571.6719795626
gene-LOC117898471	825.106693679948	852.898163926299	749.42509372445	844.473160919538	1020.22718763863	730.98019659895
gene-LOC117898505	2443.22684703222	2688.48334281116	2668.43563693718	3424.15272016247	3864.62058677512	3535.10145077436
gene-LOC117898572	1057.00619102538	850.716838698866	960.896531062537	1150.1524898453	1338.53807018188	1216.26982711881
gene-LOC117903746	2230.99739633662	2755.01376224787	2165.72722010717	2307.56146227638	2033.31278496379	2697.51997550473
gene-LOC117892013	12.4231873577909	6.54397568229897	7.42005043291535	19.9553271108806	13.2629534393022	19.2897551880278
gene-LOC117890087	7842.13701960553	7679.35546317784	7455.29567247169	8920.93827888685	9068.79947091976	9291.57049899109
gene-LOC117903363	4072.73492212913	4380.10105668544	4077.31771288698	4894.49750410508	2981.10384228007	4504.66546154103
gene-LOC117903365	1338.59843780197	1416.77073521773	1497.92268114479	1265.34915089447	1470.14737738726	1226.42232984935
gene-LOC117890272	0	1.09066261371649	0	0	0	0
gene-LOC117903464	3701.07456700855	2733.20050997354	2980.07775511963	2485.34528562786	2641.36818879641	2405.12789686515
gene-LOC117903466	3298.35624349349	4418.27424816552	3794.42829013209	4090.84205773052	4093.15147680617	4735.12727352431
gene-LOC117903463	5070.730973205	5301.71096527588	5318.32114779207	4805.60559242934	4022.75580085911	4743.24927570874
gene-LOC117903469	0	0	0	0	0	0
gene-LOC117903467	2.07053122629849	0	0	0	0	1.0152502730541
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	4.14106245259698	0	0.927506304114418	0.907060323221846	1.02022718763863	4.06100109221639
gene-LOC117894778	0	2.18132522743299	0	0.907060323221846	0	0
gene-LOC117897509	1728.89357395924	2005.72854662463	2322.4757855025	2095.30934664246	1934.35074776284	2374.67038867353
gene-LOC117900915	719.509601138725	579.141847883459	677.079602003525	627.685743669517	529.497910384448	625.394168201324
gene-LOC117901768	757.814428825247	755.829191305531	737.367511770963	606.823356235415	674.370171029133	755.346203152248
gene-LOC117892351	94.2091707965812	148.330115465443	99.2431745402428	84.3566100596316	55.0922681324859	119.799532220383
gene-LOC117893052	254.675340834714	286.844267407438	204.051386905172	322.006414743755	172.418394710928	235.53806334855
gene-LOC117893057	3.10579683944773	2.18132522743299	0	0.907060323221846	0	1.0152502730541
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	542.479181290204	641.309616865299	677.079602003525	403.641843833721	418.293146931837	448.740620689911
gene-LOC117894226	12848.6815247953	12253.5944651048	12913.670272185	12855.7659610232	15246.2750920717	13313.9920808314
gene-LOC117903638	1746.49308938278	1779.96138558532	2047.00641318052	1864.00896422089	1615.01963803195	1701.55945763867
gene-LOC117903819	1782.727385843	2323.11136721613	2339.17089897656	2087.14580373347	2206.75140686235	1958.41777672135
gene-LOC117903704	4848.14886637791	4160.87787132843	4806.33766792092	3817.81690044075	3686.08082893836	3731.04475347381
gene-LOC117892367	247.428481542669	212.679209674716	226.311538203918	162.36379785671	187.721802525508	190.86705133417
gene-LOC117903337	3055.06882440342	3794.41523311968	3882.54138902296	3391.49854852648	2819.90794663317	3316.82264206773
gene-LOC117894282	0	0	0	0	0	1.0152502730541
gene-LOC117892375	2.07053122629849	0	0	0	0	0
gene-LOC117889610	4312.91654437975	3996.18781665724	5036.35923134129	4333.02716403076	4002.35125710634	4574.71773038176
gene-LOC117889611	0	0	0	0	0	0
gene-LOC117889612	513.491744122025	411.179805371118	557.431288772765	403.641843833721	352.998606922965	481.228629427642
gene-LOC117897219	1369.65640619645	1436.40266226462	1542.44298374228	1572.84260046668	1085.5217276475	1513.73815712366
gene-LOC117896423	2435.97998774017	2294.7541392595	2149.95961293722	2478.9958633653	2109.82982403668	2724.9317328772
gene-LOC117901738	230.864231732282	256.305714223376	179.008716694083	322.913475066977	211.187027841196	292.39207863958
gene-LOC117895356	401.683057901907	355.556012071577	358.017433388165	413.619507389162	516.234956945146	417.267862225234
gene-LOC117895424	8168.24568774754	8129.79912264275	7574.01647939834	8255.15600164202	7502.75073789447	8495.61428491668
gene-LOC117893958	2384.21670708271	2238.03968334625	2276.10047029678	2082.61050211736	2293.47071781164	1897.50276033811
gene-LOC117893965	804.401381416963	760.191841760397	662.239501137695	795.491903465559	821.282886049095	779.712209705546
gene-LOC117893974	44.5164213654175	119.972887508814	117.793300622531	107.033118140178	116.305899390804	111.677530035951
gene-LOC117893951	807.507178256411	789.639732330742	846.813255656464	876.220272232303	874.334699806304	743.163199875599
gene-LOC117899032	690.522163970546	671.848170049361	795.800408930171	712.042353729149	633.561083523588	578.692655640835
gene-Trnag-gcc	7.24685929204471	1.09066261371649	1.85501260822884	1.81412064644369	2.04045437527726	0
gene-LOC117892385	0	0	0	0	0	0
gene-LOC117902577	138.725592161999	114.519574440232	123.358338447218	97.9625149079593	90.8002196998379	86.2962732095982
gene-LOC117895077	0	0	0	0	0	0
gene-LOC117892404	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0
gene-LOC117891248	5.17632806574622	3.27198784114948	9.27506304114418	2.72118096966554	3.06068156291588	4.06100109221639
gene-LOC117892461	0	0	0	0	0	0
gene-LOC117901524	4026.14796953741	4584.05496545043	5239.48311194235	4430.98967893872	3842.17558864707	5286.40817179268
gene-LOC117892471	24.8463747155819	44.7171671623763	3.71002521645767	21.7694477573243	32.6472700044361	2.03050054610819
gene-LOC117900768	353.025574083892	373.006613891041	389.552647728056	357.381767349407	344.836789421856	357.368096115042
gene-LOC117900589	4045.81801618725	4604.77755511104	4388.03232476531	4778.39378273268	3351.44631139289	5039.70235544054
gene-LOC117900729	0	0	0	0	0	0
gene-LOC117900761	2.07053122629849	2.18132522743299	0.927506304114418	0	1.02022718763863	2.03050054610819
gene-LOC117900739	0	0	0	0	0	0
gene-LOC117900717	0	1.09066261371649	0	2.72118096966554	1.02022718763863	1.0152502730541
gene-LOC117900753	1.03526561314924	1.09066261371649	0	0	0	0
gene-LOC117892481	0	2.18132522743299	1.85501260822884	0	2.04045437527726	2.03050054610819
gene-LOC117903160	0	0	0	0	0	0
gene-LOC117890984	7.24685929204471	26.1759027291959	8.34755673702976	13.6059048483277	21.4247709404112	27.4117573724606
gene-LOC117896741	5.17632806574622	2.18132522743299	7.42005043291535	9.07060323221846	3.06068156291588	9.13725245748687
gene-LOC117896721	2.07053122629849	1.09066261371649	0.927506304114418	8.16354290899661	0	4.06100109221639
gene-LOC117896749	7.24685929204471	13.0879513645979	15.7676071699451	10.8847238786621	9.18204468874765	41.625261195218
gene-LOC117896730	1981.49838356765	2179.14390220556	2315.05573506959	2019.11627949183	2121.05232310071	1746.23046965305
gene-LOC117889638	3025.04612162209	3090.93784727255	3724.8653173235	3536.62820024198	3031.09497447436	3450.83567811087
gene-LOC117889639	80267.2487843004	103329.376023501	76207.6279712571	92872.0923740383	82224.1899605476	104201.22702518
gene-LOC117890361	0	0	0	0	2.04045437527726	0
gene-LOC117902120	665.675789254964	559.509920836562	640.906856143063	1033.14170814968	822.303113236734	899.51174192593
gene-LOC117891813	3.10579683944773	1.09066261371649	4.63753152057209	0	0	4.06100109221639
gene-LOC117891157	1.03526561314924	6.54397568229897	2.78251891234325	1.81412064644369	1.02022718763863	5.07625136527048
gene-LOC117893744	0	1.09066261371649	3.71002521645767	0.907060323221846	3.06068156291588	3.04575081916229
gene-LOC117892289	202.912060177252	290.116255248587	409.030280114458	198.646210785584	255.056796909657	374.627350756962
gene-LOC117892296	0	0	0	0	0	0
gene-LOC117892685	0	0	0	0	0	0
gene-LOC117892304	32.0932340076266	20.7225896606134	54.7228719427507	27.2118096966554	19.3843165651339	59.8997661101917
