W_NL1_G23_C	W_NL2_G23_C_edited	W_NL3_G23_C	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117898518	421.273130721231	387.267819149127	356.299330969436	424.091976403363	375.963502501394	367.173445813909
gene-LOC117898421	10174.159119791	8192.58191017251	9011.54530105872	6597.40422715299	7361.60793607568	8710.79579731525
gene-LOC117898541	4266.42298073561	4385.75890620153	4308.39413226216	4164.7524689368	4354.91057064115	4028.77121373114
gene-LOC117898528	5870.56498046233	5609.48589818291	5502.84522275018	5556.45119416291	5644.50581040399	4955.71521957423
gene-LOC117898596	16695.632388505	17617.7370315455	16881.801634028	16680.6376262068	17535.8675588755	15196.0249414762
gene-LOC117898426	5021.41051304777	4630.50430459781	4979.14176167447	4420.52412654592	4229.58940314068	4682.02458358411
gene-LOC117898487	12662.9746940323	12099.6620652938	12910.4779799528	11930.9955578844	11911.5748400038	11485.9963202768
gene-LOC117898397	4667.04546779403	3320.28094691815	4147.77665607912	2563.35859795026	3101.6988956365	3702.14452880466
gene-LOC117898442	43323.3983530728	43537.159343633	47956.7588394989	47116.524544716	46217.2337886794	45975.5216506864
gene-LOC117898452	2179.88194504574	3838.27622786127	3337.90262124065	5681.51601203796	5453.49209542345	5130.29155117287
gene-LOC117898471	1058.96500702866	992.742379037101	971.622620008716	1112.41864320439	944.962029136569	1022.67941349395
gene-LOC117898505	2648.23854331817	3059.80893657673	3046.07650254188	3892.9950827271	3855.64720979252	3795.62733862844
gene-LOC117898572	1087.87590815659	1300.39422521395	1136.76453214058	1665.33678538882	1567.52524833243	1283.98076143514
gene-LOC117903746	2618.50161644373	3012.6291007413	2594.76401664726	2748.60498232158	2326.52683537153	2590.48750114107
gene-LOC117892013	9.0862832116344	10.8120457122853	4.52443594881824	11.2840437180496	10.1065457661665	10.1366902218564
gene-LOC117890087	8768.2632992272	9539.17305797531	8184.70463141219	11352.6883173344	10105.5351115899	9826.95802063299
gene-LOC117903363	8416.37633121299	4908.66875337751	6892.97816802458	4295.45930867087	4664.17087108584	5896.17481237979
gene-LOC117903365	1366.24658473121	1387.8735041588	1381.08407337677	1442.47692195734	1515.98186492498	1502.48275066182
gene-LOC117890272	4.13012873256109	0	1.13110898720456	0	0	0
gene-LOC117903464	2693.66995937634	3179.72435265844	2992.91438014326	2709.1108293084	2831.85412367986	2508.26768045268
gene-LOC117903466	4688.52213720335	4312.04041270868	4508.60042299737	5644.8428699543	4195.22714753572	4832.94863799841
gene-LOC117903463	7193.85822637491	6438.08176504259	6368.14359796167	5064.65495545125	5521.20595205676	5785.79751885291
gene-LOC117903469	0	0	0	0	0	0
gene-LOC117903467	0.826025746512218	0	0	0	0	0
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	3.30410298604887	4.91456623285694	2.26221797440912	0	0	1.1262989135396
gene-LOC117894778	0.826025746512218	0.982913246571387	1.13110898720456	0.940336976504131	0	0
gene-LOC117897509	2840.70254225552	2579.16435900332	2378.72220009119	2449.57782379326	2720.68212025202	2411.40597388828
gene-LOC117900915	763.24778977729	654.620222216544	771.416329273509	649.772850764355	676.127911756539	786.156641650639
gene-LOC117901768	718.64239946563	839.407912571965	688.845373207576	931.873943715594	757.990932462488	770.388456861085
gene-LOC117892351	185.029767218737	157.266119451422	142.519732387774	108.138752297975	96.0121847785818	120.513983748737
gene-LOC117893052	342.800684802571	311.58349916313	325.759388314913	219.098515525463	258.727571613863	376.183837122225
gene-LOC117893057	4.13012873256109	1.96582649314277	1.13110898720456	0	2.0213091532333	0
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	646.778159519067	1229.62447146081	499.950172344415	486.154216852636	596.286200203824	453.898462156458
gene-LOC117894226	10301.3670847539	14994.3415764465	13934.131613373	16248.0826170149	17087.1369268577	13441.2512341816
gene-LOC117903638	2026.24115619447	2105.40017415591	1993.01403545443	1885.37563789078	1979.87231559202	2102.80007157843
gene-LOC117903819	2441.73210669012	2503.48003901732	2554.04409310789	2449.57782379326	2321.47356248845	2150.10462594709
gene-LOC117903704	5520.33006394115	4766.14633262466	5268.70566239883	4373.50727772072	4713.69294534006	4917.42105651388
gene-LOC117892367	326.280169872326	216.240914245705	253.368413133821	203.112786924892	111.172003427832	194.84971204235
gene-LOC117903337	4683.56598272428	4204.90286883239	4638.6779565259	3542.24939049106	3828.35953622387	4493.93266502299
gene-LOC117894282	0	0	0	0	0	0
gene-LOC117892375	0	0	0	0	0	0
gene-LOC117889610	7097.21321403298	5487.60465560805	6400.9457585906	4413.94176771039	5380.72496590705	5481.69681219722
gene-LOC117889611	0	0	0	0	0	0
gene-LOC117889612	801.244974116852	536.670632627977	545.194531832597	583.008925432561	430.538849638693	434.751380626285
gene-LOC117897219	2697.8000881089	1869.50099497878	2402.47548882248	1524.2862389132	1760.56027246621	2190.65138683452
gene-LOC117896423	2879.52575234159	2840.61928259131	2964.63665546315	2926.32867088086	2724.72473855849	2765.06383273971
gene-LOC117901738	213.940668346665	250.642877875704	266.941720980276	237.905255055545	230.429243468596	320.995190358785
gene-LOC117895356	297.369268744399	366.626640971127	344.98824109739	650.713187740859	505.327288308325	466.287750205393
gene-LOC117895424	9586.8548140208	9347.50497489389	9995.61011992669	8936.96262469526	9132.27475430806	9393.33293892024
gene-LOC117893958	2760.57804484383	2493.65090655161	2773.47923662558	2460.86186751131	2311.36701672228	2121.9471531086
gene-LOC117893965	708.730090507483	790.262250243395	768.023002311895	863.229344430793	895.439954882353	788.409239477718
gene-LOC117893974	137.94629966754	137.607854519994	108.586462771638	107.198415321471	141.491640726331	103.619500045643
