W_PT1_G23_C	W_PT2_G23_C	W_PT3_G23_C	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W
gene-LOC117892351	99.3057280652578	165.719990449033	113.033006589959	320.142327549591	80.5920942757121	80.6937771883665
gene-LOC117893052	368.476517294772	379.864653431874	301.421350906558	954.066539055072	349.232408528086	250.924485229578
gene-LOC117893057	0.871102877765419	0	0.85631065598454	2.12014786456683	0.994964126860644	3.31618262417944
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	513.079595003832	575.715551235277	508.648529654817	464.312382340135	483.552565654273	477.53029788184
gene-LOC117894226	13089.1918413032	13369.5140346674	13382.4229317264	13795.8021547363	16033.8469043593	16907.0044122749
gene-LOC117903638	2093.2602152703	1793.86509141908	1879.60188988607	1696.11829165346	1792.92535660288	1838.27056800347
gene-LOC117903819	2425.15041169893	2354.51518897717	2441.34168021192	2120.14786456683	2343.14051875682	2274.9012801871
gene-LOC117903704	4592.45437157929	4119.32547687596	5064.22121949257	4749.13121662969	3490.33415702714	3895.40918920279
gene-LOC117892367	270.912994985045	277.634789193835	286.007759098836	116.608132551175	187.053255849801	252.029879437638
gene-LOC117903337	3480.05599667285	3419.85798472095	3875.66202898603	4608.141383636	3043.59526406671	3284.12619214571
gene-LOC117894282	0	0	0	0	0	0
gene-LOC117892375	0	0	0	0	0	0
gene-LOC117889610	4629.04069244544	4443.23273093544	5834.04449922267	6496.13305703275	4235.56228804576	4731.08721049601
gene-LOC117889611	0	0	0	0	0	0
gene-LOC117889612	495.657537448523	371.255822759197	546.326198518136	557.598888381075	405.945363759143	488.584239962438
gene-LOC117897219	1649.8688504877	1481.79497953454	1988.3533431961	3857.60903957934	1254.64976397127	1514.39006504195
gene-LOC117896423	2862.44405633717	2608.47569382114	2852.3707950845	4397.1866711116	2485.42038889789	2654.05149355162
gene-LOC117901738	315.339241751082	248.57998567355	217.502906620073	450.531421220451	275.605063140398	319.458926129287
gene-LOC117895356	263.944171962922	355.114265247928	447.850473079914	624.38354611493	547.230269773354	704.136110534102
gene-LOC117895424	9932.31501228131	9248.03635012331	9818.45798151873	11641.7319243364	8049.25978630261	8737.03582050478
gene-LOC117893958	2752.68509373872	2397.55934234056	2534.67954171424	1472.44269194166	2415.77290001764	2132.30542734738
gene-LOC117893965	844.969791432457	771.56644903868	706.456291187245	391.167281012579	928.301530360981	853.364328622177
gene-LOC117893974	128.052123031517	164.643886614948	106.182521342083	67.8447316661384	145.264762521654	130.436516551058
gene-LOC117893951	944.275519497714	970.645658344336	806.644637937437	508.835487496038	866.613754495621	751.668061480674
gene-LOC117899032	716.046565523175	635.977365944016	721.869882994967	858.659885149565	640.756897698255	602.439843392599
gene-Trnag-gcc	0.871102877765419	4.30441533633852	0.85631065598454	4.24029572913365	4.97482063430322	1.10539420805982
gene-LOC117892385	0	0	0	0	0	0
gene-LOC117902577	155.92741512001	153.882848274102	98.4757254382221	180.21256848818	137.305049506769	85.1153540206058
gene-LOC117895077	0	0	0	0	0	0
gene-LOC117892404	0	2.15220766816926	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0
gene-LOC117891248	0.871102877765419	2.15220766816926	0	0	3.97985650744258	3.31618262417944
gene-LOC117892461	0	0	0	0	0	0
gene-LOC117901524	4753.60840396589	4263.5233906433	4845.86200221651	5096.83546641865	4194.76875884447	4875.89385175184
gene-LOC117892471	29.6174978440242	49.500776367893	6.85048524787632	23.3216265102351	59.6978476116386	4.42157683223926
gene-LOC117900768	384.15636909455	441.202571974698	484.67183128725	612.722732859813	374.106511699602	456.527807928704
gene-LOC117900589	4758.83502123248	4798.34699618337	6003.59400910761	10704.6265681979	4080.3478842555	5309.20838131129
gene-LOC117900729	0	0	0	0	0	0
gene-LOC117900761	2.61330863329626	4.30441533633852	0.85631065598454	5.30036966141707	0	2.21078841611963
gene-LOC117900739	0	0	0	0	0	0
gene-LOC117900717	0.871102877765419	1.07610383408463	0	3.18022179685024	0	0
gene-LOC117900753	0	0	0	0	0	0
gene-LOC117892481	0	0	0	4.24029572913365	1.98992825372129	5.52697104029907
gene-LOC117903160	0	0	0	0	0	0
gene-LOC117890984	38.3285266216784	11.8371421749309	19.6951450876444	30.742144036219	28.8539596789587	75.1668061480674
gene-LOC117896741	6.09772014435793	3.22831150225389	10.2757278718145	9.54066539055072	17.9093542834916	64.1128640674693
gene-LOC117896721	0	0	5.13786393590724	21.2014786456683	0.994964126860644	12.159336288658
gene-LOC117896749	8.71102877765419	15.0654536771848	16.2699024637063	20.1414047133848	13.929497776049	29.845643617615
gene-LOC117896730	2661.21929157336	2307.16662027745	2446.47954414783	1099.2966677779	2001.86782324362	1829.42741433899
gene-LOC117889638	3645.56554344828	3257.36630577417	3708.68145106904	4087.64508288484	3070.45929549195	3507.41582217379
gene-LOC117889639	100486.07246463	114860.094938691	93499.7042162959	119380.225884097	96429.9332470799	110474.202547706
gene-LOC117890361	0	5.38051917042315	0	0	1.98992825372129	0
gene-LOC117902120	520.919520903721	682.249830809655	1017.29705930963	1935.69500034951	835.769866562941	1082.18092969056
gene-LOC117891813	3.48441151106168	6.45662300450778	0	2.12014786456683	0.994964126860644	0
gene-LOC117891157	4.3555143888271	7.53272683859241	4.2815532799227	2.12014786456683	4.97482063430322	8.84315366447852
gene-LOC117893744	0	5.38051917042315	0.85631065598454	0	4.97482063430322	0
gene-LOC117892289	275.268509373872	326.059461727643	412.741736184548	464.312382340135	289.534560916447	386.887972820935
gene-LOC117892296	0	1.07610383408463	0	0	0	0
gene-LOC117892685	2.61330863329626	0	0.85631065598454	0	0	0
gene-LOC117892304	26.1330863329626	16.1415575112695	47.9533967351342	54.0637705464541	15.9194260297703	25.4240667853757
gene-Trnag-ucc	0	0	0	0	0	0
gene-LOC117902200	15.6798517997775	13.9893498431002	27.4019409915053	61.484288072438	16.9143901566309	19.8970957450767
gene-LOC117892692	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0
gene-LOC117903097	1.74220575553084	0	0	0	0	0
gene-LOC117895847	0	0	0	0	0	0
gene-LOC117903383	54.8794812992214	54.8812955383161	45.3844647671806	115.548058618892	49.7482063430322	53.0589219868711
gene-LOC117903382	617.611940335682	693.010869150502	603.699012469101	1338.87337647395	570.114444691149	630.074698594095
gene-LOC117903384	0	1.07610383408463	0	1.06007393228341	0	0
gene-LOC117903386	0	0	0	2.12014786456683	4.97482063430322	0
gene-LOC117903385	255.233143185268	401.386730113567	215.790285308104	180.21256848818	287.544632662726	207.814111115245
gene-LOC117903381	2614.17973617402	3029.23229294823	2938.00186068296	4677.04618923442	3017.72619676833	3453.25150597886
gene-LOC117903387	11.3243374109504	19.3698690135233	11.132038527799	23.3216265102351	13.929497776049	6.63236524835889
gene-LOC117896133	1802.31185409665	1547.4373134137	1723.75335049688	3013.79018948174	1617.81167027541	1556.39504494822
gene-LOC117892719	0	0	0	0	0	2.21078841611963
gene-LOC117892729	0	1.07610383408463	0	3.18022179685024	0	0
