C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W
gene-LOC117892238	42.1973307400768	72.5745911649251	33.7235196437635	19.2941806559461	34.1346596136944	21.6937381741906
gene-LOC117902179	47.8996727319791	39.6741098368257	12.9705844783706	60.9289915450929	68.2693192273888	20.6607030230386
gene-LOC117892263	80.9732562850123	72.5745911649251	57.0705717048305	73.1147898541115	73.2891221117556	73.3454957317872
gene-LOC117898513	2884.24457950417	2346.57844766591	2913.19327384203	2809.8419934212	2762.8995075555	2563.99324515909
gene-LOC117898613	5.70234199190227	6.77362850872634	1.72941126378274	7.10838234692751	10.0396057687336	2.06607030230386
gene-LOC117898579	42314.79898511	39312.2045422166	42753.6405576051	39998.8674661611	39626.3239691917	45574.4117633698
gene-LOC117898557	15145.4203304924	14528.4654900025	14638.601642289	14079.6744628786	13436.0044002962	13798.2505139364
gene-LOC117898460	1777.99023307513	1828.87969735611	2382.26401586073	2186.33531327642	2186.62613643019	2115.65598955916
gene-LOC117898580	1835.01365299415	1854.03888895995	1947.31708301937	2008.62575460323	1378.43787204713	1530.95809400716
gene-LOC117898550	337.578645920615	322.231184772267	374.417538608964	487.431932360743	441.74265382428	442.139044693027
gene-LOC117898586	1813.34475342492	1365.36997511612	1810.69359318053	1742.56915818966	1415.58441339144	1433.85278979888
gene-LOC117898434	18.2474943740873	23.223869172776	16.4294070059361	37.572878119474	30.1188173062009	41.3214060460773
gene-LOC117898574	659.190734263903	568.01713351748	684.846860457966	699.66791957615	619.443675930866	654.944285830325
gene-LOC117898502	2340.24115347669	1847.26526045123	2274.17581187431	2238.12495608975	1871.38251529195	1921.44538114259
gene-LOC117898518	396.883002636398	301.910299246088	326.858728854938	372.682331617485	337.33075382945	296.481088380604
gene-LOC117898421	11035.1722227293	11221.9671165285	11945.9083045793	10501.1116927968	12960.1270868583	10382.0032690769
gene-LOC117898541	3675.7296479802	3182.63773788585	3758.0106761999	3307.42875770613	3153.44017195924	3451.3704399986
gene-LOC117898528	5430.91051308772	4702.83350748715	5267.78670948223	4961.6508781554	4617.2146930406	4325.31817787314
gene-LOC117898596	15845.667927098	13287.92381169	14631.6839972339	12781.8869429681	10895.9841408066	13080.2910838858
gene-LOC117898426	5353.35866199785	5557.2783608022	4766.25744298524	5230.75392414623	4943.50188052445	5047.40974852834
gene-LOC117898487	10576.7039265803	9729.83352217763	11731.4613078702	10588.4432473447	9979.36813412124	9901.64192379127
gene-LOC117898397	5014.63954767886	5646.30319263117	5650.85130441011	5533.36791548686	7408.22509674856	5565.99339440661
gene-LOC117898442	38122.4371526635	34385.8412939415	44837.5811304633	41309.856267573	36229.9253376291	39760.4899326867
gene-LOC117898452	3317.62257088874	3781.62003030036	2556.93455350279	3092.14632091347	3220.70553060975	4339.78066998927
gene-LOC117898471	1111.95668842094	729.61655651138	824.064467192477	774.813675815098	743.934787463163	708.662113690225
gene-LOC117898505	2458.84986690826	2644.61810204987	2741.98155872754	2738.75816995193	2768.92327101674	3653.84532962438
gene-LOC117898572	1069.75935768087	1038.3004842662	952.905606344291	1215.5333813246	989.905128797137	1203.485951092
gene-LOC117903746	2649.3080894378	3458.42118431256	2102.96409675982	2552.92474573939	2450.66776814788	2680.72621723926
gene-LOC117892013	15.9665575773264	3.87064486212934	15.5647013740447	15.2322478862732	15.0594086531005	11.3633866626713
gene-LOC117890087	9350.70039832135	8532.83659856413	7241.04496145834	7507.46724154787	6917.28837465748	8948.15047927803
gene-LOC117903363	7765.44932457252	9931.10705500835	8976.50916466432	9160.67387880472	11358.8099667452	9498.75821484201
gene-LOC117903365	1091.42825725009	996.691051998305	1325.59373368947	1044.93220499834	1084.27742302323	1105.34761173257
gene-LOC117890272	0	0	1.72941126378274	0	0	0
gene-LOC117903464	2134.95684176821	2287.55111351844	2679.72275323136	2306.16232998177	2425.56875372605	2275.77643798771
gene-LOC117903466	3820.56913457452	4507.36594194962	3471.79311204386	3650.66207674348	3455.63230559812	5387.27831325732
gene-LOC117903463	7150.73685784545	7540.98385264348	6928.88622834556	6232.02035187059	7253.61516791006	6699.23295522028
gene-LOC117903469	0	0.967661215532335	0	0	0	4.13214060460773
gene-LOC117903467	0	0	0	0	0	0
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	5.70234199190227	0.967661215532335	0.864705631891371	0	2.00792115374673	1.03303515115193
gene-LOC117894778	2.28093679676091	0.967661215532335	0	1.01548319241822	0	0
gene-LOC117897509	2824.94022278839	2494.63061364236	2511.96986064443	3164.24562757516	3410.45407963882	2565.02628031025
gene-LOC117900915	772.097105703568	777.999617287997	816.282116505454	826.603318628427	942.718981684089	928.698600885587
