C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	W_NL1_G23_C	W_NL2_G23_C	W_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117903560	8844.46155114695	9048.38414553282	8716.84517180383	7878.90099061853	7359.53662922269	7525.16647833157	9703.31200611886	10675.4823943619	9248.41062741245	6685.40673896095	6814.8811793719	8017.38708602148
gene-LOC117903561	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117901271	1296.93547942898	1048.76954992929	1239.88061212772	1296.31827834831	1259.0520433177	1334.59850320752	1153.94183515605	1108.30243598382	1156.98009685293	1291.58919590898	1428.17771343533	1260.21479405514
gene-LOC117901264	6029.50860992507	6315.59034685992	6209.27186435306	6063.42420517759	6343.72113905519	6327.30962504286	6167.10719267563	5907.77067356802	6958.86377519982	7838.57989134931	7377.81254087195	7787.17632175583
gene-LOC117892203	6147.73426894321	5628.39658462054	5895.26447343794	5596.33934773255	4806.01879155393	5059.44104699571	5176.79983506473	5413.42756219797	4958.03122238535	4123.38748755379	4324.3363678868	4411.83258090316
gene-LOC117892210	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117901014	7.09353954108832	7.99062514231842	10.7659676885185	12.6239150660822	12.1152306166766	12.0332651928547	19.1261077650175	22.2295617532572	8.49159704112242	7.05304680359853	15.1631343164998	9.72721539150624
gene-LOC117901031	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117902670	0	0.998828142789802	0	0	0	1.09393319935042	3.18768462750291	2.11710111935783	0	0	3.79078357912496	0
gene-LOC117889582	4628.53455056013	3805.53522402915	4094.65637753321	4657.43566469269	4368.00660772024	4238.9911474829	3667.96244471335	3824.54317211992	3243.79006970876	3525.64177094881	3605.03518374784	3433.7070332017
gene-LOC117889584	6507.14027235835	5316.76220407012	6497.26150002093	6911.59349867998	6148.01356755503	6662.05318404409	5848.33872992534	5146.67282115888	5846.46456281278	6388.29714235936	6515.40927662103	5932.52058710864
gene-LOC117889583	16556.3212889001	13638.9982897948	15895.9512920976	16713.2745528012	13185.0986742108	15516.3484995864	15726.9733905569	15631.6161147785	14022.8110637835	12565.0028806108	13164.4436744062	13145.7912007656
gene-LOC117889585	7.09353954108832	20.9753909985859	10.7659676885185	11.834920374452	12.1152306166766	13.1271983922051	13.8133000525126	7.4098539177524	30.7820392740688	19.3958787098959	16.1108302112811	19.4544307830125
gene-LOC117894309	4173.36576334029	4664.52742682838	3593.14171604306	3418.71399883338	3937.44995041989	3306.96006163633	3722.1530833809	4686.20332769855	3882.78274705323	2506.47650782883	2765.37662097166	3300.76842285112
gene-LOC117894395	20.0983620330836	54.9355478534391	20.6347714029938	19.7248672907534	16.7749347000137	19.6907975883076	18.0635462225165	11.6440561564681	22.2904422329463	19.3958787098959	10.4246548425936	10.8080171016736
gene-LOC117894248	0	0	0	0	0	0	0	0	0	0	1.89539178956248	0
gene-LOC117893770	46.1080070170741	24.9707035697451	26.9149192212963	41.027723964767	14.9110530666789	20.7847307876581	6.37536925500582	8.46840447743131	5.30724815070151	14.1060936071971	10.4246548425936	6.48481026100416
gene-LOC117892238	43.7434938367113	74.9121107092352	34.9893949876852	14.9908991409726	27.0262836833554	70.0117247584272	20.1886693075184	35.9907190290831	22.2904422329463	34.3836031675428	50.2278824234057	38.908861566025
gene-LOC117902179	49.6547767876182	40.9519538543819	13.4574596106482	20.5138619823835	37.2776326666972	14.2211315915555	63.7536925500582	71.9814380581662	21.228992602806	38.7917574197919	55.9140577920932	10.8080171016736
gene-LOC117892263	83.9402179028784	74.9121107092352	59.2128222868519	41.027723964767	37.2776326666972	68.9177915590768	76.5044310600698	77.2741908565607	75.3629237399615	87.2814541945317	125.095858111124	81.060128262552
