C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	W_PT1_G23_C	W_PT2_G23_C	W_PT3_G23_C	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117894248	0	0	0	0.82682127174876	0	0	1.01393804061635	1.93181600116986	0	0	0	0
gene-LOC117893770	40.1083347314625	31.7806510109044	25.3014890433221	30.5923870547041	37.1027475119698	27.9138483888893	4.05575216246539	12.5568040076041	19.0867369502364	12.2540720082128	6.3111510620882	20.2305941768231
gene-LOC117892238	28.1842352167034	45.4009300155777	37.9522335649832	12.4023190762314	61.8379125199496	57.469687859478	19.2648227717106	26.0795160157932	24.388608325302	10.3688301607955	42.0743404139213	13.8419854894053
gene-LOC117902179	17.3441447487406	26.1055347589572	20.4358180734525	18.1900679784727	18.5513737559849	15.598915276144	32.4460172997231	58.9203880356809	50.8979652006303	19.7950393978823	18.9334531862646	52.1736376139122
gene-LOC117892263	36.8563075910737	34.0506975116833	83.6895406817578	30.5923870547041	42.2559068886323	45.1547547467327	93.282299736704	87.8976280532288	107.097801776326	72.5818111255683	74.6819542347104	99.0234346549762
gene-LOC117898513	4122.48640496627	2636.65901065468	2736.45335345469	2739.25887330364	2581.7328477079	2689.58139182357	2075.53116914166	2599.25842957405	2410.23072710485	2667.61721409556	2868.41815771909	2424.47699687506
gene-LOC117898613	5.42004523398142	5.67511625194721	2.91940258192178	4.96092763049256	1.03063187533249	1.64199108169937	8.11150432493078	0.965908000584932	4.24149710005253	1.88524184741736	4.20743404139213	2.12953622913927
gene-LOC117898579	52143.0031689949	48685.6873022048	46979.9994824793	53004.204446726	51611.9830529006	50249.8530732458	35539.5422616436	54049.313988731	51016.7271194318	52456.854404388	55916.7984101015	46982.8930553852
gene-LOC117898557	15965.2852412157	15563.43880934	16299.0246148693	16209.0042113627	15388.3645305895	14786.9506862437	12298.0544946357	17369.9235745188	16134.6549685998	16769.2262327774	16831.8398825892	16033.2782691896
gene-LOC117898460	1827.63925289854	1859.16808413791	2337.46833392538	2269.62439095035	1954.07803563041	1933.44449870101	1641.56568775787	1570.5664089511	2189.67287790212	2082.24962047247	1996.42745264057	1921.90644679819
gene-LOC117898580	2372.89580343707	2249.61608227188	2088.34598026805	2334.11645014675	2395.18847827272	2244.60180868304	1162.98693258695	2157.83847330674	1916.09631494873	2094.50369248068	2372.99279934516	1835.66022951805
gene-LOC117898550	390.243256846663	376.827719129295	444.722326646085	402.661959341646	373.088738870363	435.127636650333	313.306854550451	523.522136317033	586.386974082262	418.523690126653	501.736509436012	548.355579003363
gene-LOC117898586	2453.11247289999	2041.90682745061	1947.24152214183	2086.07006862212	1902.54644186378	1880.90078408663	1071.73250893148	2184.88389732312	1688.11584582091	1892.78281480703	2239.40676853096	1879.31572221541
gene-LOC117898434	48.7804071058328	30.645627760515	43.7910387288268	19.8437105219702	24.7351650079799	36.9447993382358	26.362389056025	29.9431480181329	51.9583394756435	28.2786277112604	36.8150478621812	44.7202608119247
gene-LOC117898574	681.841690434863	740.035159253917	703.57602224315	766.4633189111	668.880087090789	652.6914549755	589.098001598098	836.476328506551	793.159957709823	691.88375800217	830.968223174947	725.107086021922
gene-LOC117898502	2384.81990295183	2553.80231337625	2560.3160643454	2568.10687005165	2328.1974063761	2403.05394806703	1447.90352200014	2316.24738540267	2288.28768547834	2331.10154433156	2470.81564080753	2232.81873625253
gene-LOC117898518	406.503392548607	337.101905365664	321.134284011396	376.203678645686	319.495881353073	335.787176207521	370.087384824967	346.760972209991	332.957522354123	302.581316510486	382.876497766684	350.30870969341
gene-LOC117898421	6183.18760292601	6639.88601477824	7503.83776973296	6540.15625953269	6437.32669332676	8079.41711750175	10779.1753097924	5282.55085519899	6476.76607178021	6514.45320375068	5260.34441025052	6779.37858546487
gene-LOC117898541	3807.03977234855	3810.27305155736	4182.53076569994	4006.77588289449	3924.64618126614	3640.2942281275	2616.97408283079	4016.24546643215	3593.6084180195	3712.04119756478	4042.29225526749	3514.79954619437
gene-LOC117898528	4874.78868344289	5238.13230054728	4798.52471048544	5625.69193297856	5433.49124675291	4819.24382478765	4064.87760483094	5444.82339929726	4142.88229247631	4842.24368509148	5539.08691549274	4132.36505264476
gene-LOC117898596	17063.3864056203	15009.54746315	15124.4516427428	17133.3903931778	15568.7251087727	15187.5965101783	10562.1925691005	16974.8672022796	14726.4779313824	15108.3281652027	16314.325495498	13269.1402437668
gene-LOC117898426	3586.98593584891	4019.11732962902	3967.4681088317	4270.53186858235	4573.94426272561	4633.69883255562	6041.0428459922	3956.35917039588	4431.30409527988	4335.11362813621	3537.40017030044	4478.41468987989
gene-LOC117898487	11182.6373267505	11411.5237594155	11436.2730475816	13197.7211396537	11991.4018694936	11322.349503858	7642.05101212541	10909.9308666068	10064.0122441496	11117.2711742202	12056.4022456092	9654.25249480289
gene-LOC117898397	2723.03072555227	2569.6926388817	3091.64733425517	2543.30223189919	2555.96705082459	3470.34815117162	6186.03598580033	2189.71343732604	2622.30558210747	2930.60845181028	2058.4871047511	2771.59140222476
gene-LOC117898442	46038.948226485	40926.6683625425	41802.925570538	47876.2589193402	42289.9177405182	42136.7751385692	30756.7965240563	42917.2242819897	41387.4683280375	43767.7747296414	45335.1017960003	41407.7672074986
