C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C
gene-LOC117892203	5799.07582037116	5197.84547799027	5580.06740905168	5029.18290539585	4428.98652495868	4542.47214414837
gene-LOC117892210	0	0	0	0	0	0
gene-LOC117901014	6.69124133119749	7.37937246209799	10.190352900414	18.8398110920136	12.2102385399863	11.3067134888572
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	0	0.922421557762249	0	0	1.1100216854533	1.88445224814286
gene-LOC117889582	4366.03496860636	3514.42613507417	3875.73088645744	3496.87826991208	4047.13906516274	4158.9861116513
gene-LOC117889584	6138.09871448517	4910.04995196845	6149.87797539983	5597.51720667159	6168.390506064	6199.84789639002
gene-LOC117889583	15617.357267015	12595.6663712435	15046.0560574612	13721.6624120166	12754.1491658584	13369.2464744495
gene-LOC117889585	6.69124133119749	19.3708527130072	10.190352900414	11.5132178895639	12.2102385399863	12.2489396129286
gene-LOC117894309	3936.68031652119	4307.7086747497	3401.03028051316	2520.34806164271	2904.92675083129	2883.21193965858
gene-LOC117894395	18.9585171050596	50.7331856769237	19.5315097257934	15.699842576678	17.7603469672528	22.6134269777144
gene-LOC117894248	0	0	0	0	0	0
gene-LOC117893770	43.4930686527837	23.0605389440562	25.4758822510349	38.7262783558057	31.0806071926925	24.4978792258572
gene-LOC117892238	41.2626548757179	69.1816168321687	33.1186469263454	27.2130604662418	44.4008674181321	36.7468188387858
gene-LOC117902179	46.8386893183825	37.8192838682522	12.7379411255175	16.7464987484565	25.530498765426	19.7867486055001
gene-LOC117892263	79.179689085837	69.1816168321687	56.0469409522768	35.5863098404701	33.3006505635991	81.0314466701431
gene-LOC117898513	2820.35822109974	2236.87227757345	2860.94157679122	3980.43342127376	2578.58037530802	2649.53986088887
gene-LOC117898613	5.57603444266458	6.45695090433574	1.69839215006899	5.23328085889266	5.55010842726651	2.8266783722143
gene-LOC117898579	41377.5211852368	37474.2982056491	41986.8015379306	50346.255174891	47613.270175834	45487.8505917965
gene-LOC117898557	14809.9474797171	13849.2372682424	14376.040354259	15415.1520979542	15220.6173509357	15781.3453520724
gene-LOC117898460	1738.60753922282	1743.37674417065	2339.53518672004	1764.66230561861	1818.21552077251	2263.22715001958
gene-LOC117898580	1794.36788364946	1767.35970467247	1912.38956097769	2291.13036002321	2200.06298056845	2022.01726225729
gene-LOC117898550	330.101239005743	307.166378734829	367.701900489937	376.796221840272	368.527199570496	430.597338700644
gene-LOC117898586	1773.17895276734	1301.53681800253	1778.21658112224	2368.58291673482	1996.92901213049	1885.39447426693
