C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117898442	40607.2675380279	36407.4806882335	38521.3116910209	42700.878315452	43584.5096714875	40100.9842443263
gene-LOC117898452	3039.55579285386	3236.48954049528	4204.52675865777	4491.53794134794	4493.95733132461	4643.33698609379
gene-LOC117898471	761.635819358783	747.580657576995	686.575900128358	856.187924528038	1011.24152370041	742.43895846936
gene-LOC117898505	2692.17798795628	2782.49318974002	3539.96932762974	3471.653507082	3830.58289177714	3590.51729637543
gene-LOC117898572	1194.85986339772	994.756448543747	1165.97802281274	1166.1077210543	1326.74887909493	1235.33593367541
gene-LOC117903746	2509.50517676013	2462.67798265242	2597.17851433395	2339.57258861367	2015.40435673491	2739.80598979596
gene-LOC117892013	14.9731812455855	15.133211691842	11.0092345501632	20.2321528889547	13.1461398081053	19.5921391818303
gene-LOC117890087	7379.78192990758	6951.18857045276	8669.27178850122	9044.69198467589	8988.92590417291	9437.22409432164
gene-LOC117903363	9004.87120109513	11414.4771387667	9202.71924443185	4962.39531767271	2954.84773225259	4575.28008156743
gene-LOC117903365	1027.16023344717	1089.59124181262	1070.89826987951	1282.90242182236	1457.19903565229	1245.64758587637
gene-LOC117890272	0	0	0	0	0	0
gene-LOC117903464	2266.93964058165	2437.45596316602	2204.84942854631	2519.822677988	2618.10430486035	2442.83040640821
gene-LOC117903466	3588.57243852533	3472.56764288801	5219.3780162819	4147.59134223572	4057.10099308603	4809.3545865293
gene-LOC117903463	6126.02755361055	7289.16363157056	6490.44418707347	4872.27027298555	3987.3253279507	4817.60390829007
gene-LOC117903469	0	0	4.00335801824115	0	0	0
gene-LOC117903467	0	0	0	0	0	1.03116522009633
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	0	2.01776155891227	1.00083950456029	0.919643313134305	1.01124152370041	4.12466088038533
gene-LOC117894778	0.998212083039034	0	0	0.919643313134305	0	0
gene-LOC117897509	3110.42885074963	3427.16800781248	2485.0844898232	2124.37605334024	1917.31392893597	2411.89544980532
gene-LOC117900915	812.544635593774	947.339051909309	899.754714599699	636.393172688939	524.834350800511	635.197775579341
gene-LOC117901768	734.684093116729	693.101095486364	662.555752018911	615.24137648685	668.430647165968	767.186923751672
gene-LOC117892351	167.699629950558	211.864963685788	157.131802215965	85.5268281214904	54.6070422798219	121.677495971367
gene-LOC117893052	390.300924468262	499.395985830786	583.489431158648	326.473376162678	170.899817505369	239.230331062349
gene-LOC117893057	2.9946362491171	1.00888077945613	1.00083950456029	0.919643313134305	0	1.03116522009633
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	382.31522780395	489.307178036225	366.307258669065	409.241274344766	414.609024717167	455.775027282579
gene-LOC117894226	11216.9091771096	10618.4702037758	12367.3737578515	13034.1046770525	15111.9933301789	13522.7006963433
gene-LOC117903638	1616.1053624402	1890.64258070079	1800.51026870396	1889.867008491	1600.79533201774	1728.23290888145
gene-LOC117903819	1812.75314279889	1992.53953942586	1981.66221902937	2116.09926352204	2187.31541576398	1989.11770956583
gene-LOC117903704	4983.07471853086	5819.22433590298	4894.10517729981	3870.77870498229	3653.61562512957	3789.53218385402
