C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117897509	3251.89615903155	3572.24951518217	2600.3848039487	2244.32767161764	2498.80746029133	2257.65809062307
gene-LOC117900915	849.500472866393	987.442535989419	941.500579440144	595.328376617194	620.988926796024	736.032390123727
gene-LOC117901768	768.098707653151	722.441983199927	693.296311000417	853.792215958957	696.175926901372	721.269562814655
gene-LOC117892351	175.326878920828	220.833793991244	164.422236898891	99.0778050810091	88.1822840741738	112.830180147907
gene-LOC117893052	408.052438440736	520.536800122218	610.561554853842	200.740248555436	237.628049715668	352.198880087858
gene-LOC117893057	3.13083712358621	1.0515894951964	1.04727539426045	0	1.85646913840366	0
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	399.703539444507	510.020905170254	383.302794299324	445.419349798972	547.658395829079	424.958528968284
gene-LOC117894226	11727.0722525794	11067.9794369421	12941.1820468764	14886.6555999544	15693.6618614953	12584.2557933189
gene-LOC117903638	1689.60843436203	1970.67871399805	1884.04843427455	1727.39999293412	1818.41152106638	1968.72847043123
gene-LOC117903819	1895.20007214419	2076.88925301289	2073.60528063569	2244.32767161764	2132.1548054566	2013.01695235845
gene-LOC117903704	5209.71297364746	6065.56820829283	5121.1766779336	4007.05105592847	4329.28603075733	4603.89314510056
gene-LOC117892367	148.192957183081	99.901002043658	160.233135321849	186.093964326069	102.105802612201	182.426366033531
gene-LOC117903337	4693.12484825573	5250.58634951562	4560.88434200426	3245.4442760014	3516.15254813653	4207.40578308549
gene-LOC117894282	0	0	0	0	0	0
gene-LOC117892375	0	0	0	0	0	0
gene-LOC117889610	7581.84390095128	9385.43624462787	6248.04500215784	4044.09753956745	4941.92084643054	5132.19146523235
gene-LOC117889611	0	0	0	0	0	0
gene-LOC117889612	635.559936088001	478.473220314362	442.99749177217	534.15860130631	395.427926479979	407.032238664411
gene-LOC117897219	3253.9833837806	4655.38669523446	3240.27006984183	1396.56627857666	1616.98461954959	2050.97850829606
gene-LOC117896423	2969.07720553426	3400.84042746516	3171.14989382064	2681.13156010522	2502.52039856813	2588.76721741225
gene-LOC117901738	221.245823400092	280.774395217439	300.568038152749	217.97117117822	211.637481778017	300.528984506106
gene-LOC117895356	346.479308343541	330.199101491669	484.888507542588	596.189922748333	464.117284600915	436.557893282555
gene-LOC117895424	9761.95015134181	10800.8757051622	9668.44643981247	8188.13443034705	8387.52756730773	8794.42712554711
gene-LOC117893958	2145.66704203108	1765.61876243476	1814.92825825336	2254.66622519131	2122.87245976458	1986.6547607351
gene-LOC117893965	480.061692283219	451.131893439255	568.670539083424	790.899348385795	822.415828312821	738.141365453595
gene-LOC117893974	102.274012703816	48.3731167790344	92.1602346949195	98.2162589498699	129.952839688256	97.012865173901
gene-LOC117893951	729.485049795588	624.644160146661	799.071125820723	739.206580517442	749.085297345877	866.788860575507
gene-LOC117899032	883.939681225841	829.704111709959	865.049475659131	602.220745666308	665.544186117712	699.125321851048
gene-Trnag-gcc	1.04361237452874	0	3.14182618278135	0.86154613113921	4.64117284600915	0
gene-LOC117892385	0	0	0	0	0	0
gene-LOC117902577	96.0123384566439	124.087560433175	111.011191791608	150.770572949362	160.584580471917	76.9775995401606
gene-LOC117895077	1.04361237452874	0	0	0	0	0
gene-LOC117892404	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0
gene-LOC117891248	1.04361237452874	1.0515894951964	1.04727539426045	0.86154613113921	1.85646913840366	3.16346299480112
gene-LOC117892461	0	0	0	0	0	0
gene-LOC117901524	5126.22398368516	5352.59053054967	5216.4787388113	4436.96257536693	4795.25978449665	5353.63387486843
gene-LOC117892471	30.2647588613334	14.7222529327496	30.370986433553	39.6311220324037	15.7799876764311	31.6346299480112
gene-LOC117900768	515.544513017196	562.600379930074	528.874074101527	455.757903372642	433.485543817254	537.78870911619
gene-LOC117900589	7403.38618490687	8951.12978311175	7860.84910931893	4457.63968251427	4713.57514240689	5894.58604697942
gene-LOC117900729	0	0	0	0	0	0
gene-LOC117900761	0	3.1547684855892	3.14182618278135	2.58463839341763	2.78470370760549	2.10897532986741
gene-LOC117900739	0	0	0	0	0	0
gene-LOC117900717	0	1.0515894951964	1.04727539426045	0	0.92823456920183	3.16346299480112
gene-LOC117900753	2.08722474905748	1.0515894951964	0	0	4.64117284600915	0
gene-LOC117892481	1.04361237452874	0	1.04727539426045	0	0.92823456920183	0
gene-LOC117903160	0	0	0	0	0	0
gene-LOC117890984	18.7850227415173	28.3929163703028	34.5600880105948	27.5694761964547	25.9905679376512	40.0705312674809
gene-LOC117896741	7.30528662170116	13.6706634375532	2.0945507885209	5.16927678683526	8.35411112281647	9.49038898440336
gene-LOC117896721	8.3488989962299	15.773842427946	9.42547854834404	1.72309226227842	5.56940741521098	8.43590131946965
gene-LOC117896749	24.003084614161	25.2381478847136	42.9382911646784	18.0924687539234	32.488209922064	32.6891176129449
gene-LOC117896730	1882.67672364984	1674.13047635267	1677.73518160524	1884.20138880145	2032.83370655201	1897.02330921574
gene-LOC117889638	4197.40897035458	4527.0927768205	4262.41085464003	3123.10472537964	3583.91367168826	3766.6299391432
gene-LOC117889639	78911.706087616	83704.420638643	95635.0944530757	95612.6665415672	85578.5861075627	94358.7197212629
gene-LOC117890361	0	4.2063579807856	2.0945507885209	0	0	0
gene-LOC117902120	803.581528387128	776.073047454943	1470.37465354167	975.270220449586	985.785112492343	824.609353978159
gene-LOC117891813	1.04361237452874	0	0	2.58463839341763	0	0
gene-LOC117891157	2.08722474905748	0	2.0945507885209	0.86154613113921	0	1.05448766493371
gene-LOC117893744	0	3.1547684855892	1.04727539426045	1.72309226227842	0.92823456920183	3.16346299480112
gene-LOC117892289	256.728644134069	323.889564520491	291.142559604405	286.033315538218	295.178593006182	278.384743542499
gene-LOC117892296	0	0	0	0	0	0
gene-LOC117892685	0	0	0	2.58463839341763	0	0
gene-LOC117892304	39.657270232092	22.0833793991244	40.8437403761575	32.73875298329	14.8517531072293	30.5801422830775
gene-Trnag-ucc	0	0	0	0	0	0
gene-LOC117902200	35.4828207339771	7.3611264663748	29.3237110392926	22.4001994096195	14.8517531072293	14.7628273090719
gene-LOC117892692	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0
gene-LOC117903097	0	1.0515894951964	0	0	0	0
gene-LOC117895847	0	0	0	0	0	0
gene-LOC117903383	58.4422929736093	75.7144436541408	128.814873494035	65.47750596658	33.4164444912659	42.1795065973483
gene-LOC117903382	742.008398289933	991.648893970205	806.402053580546	624.620945075927	617.275988519217	692.798395861445
gene-LOC117903384	0	0	0	0	0	0
gene-LOC117903386	0	0	0	2.58463839341763	0.92823456920183	0
gene-LOC117903385	163.847142801012	111.468486490818	182.225918601318	197.294064030879	169.866926163935	167.663538724459
gene-LOC117903381	3137.09879783339	3447.1103652538	3358.61218939326	2923.22602295534	2908.15890530933	3085.43090759603
gene-LOC117903387	10.4361237452874	24.1865583895172	11.5200293368649	20.677107147341	10.2105802612201	21.0897532986741
gene-LOC117896133	2424.31154603026	2936.03787058835	2799.36712885818	1245.7957056273	1480.53413787692	1846.40790129892
gene-LOC117892719	2.08722474905748	1.0515894951964	0	1.72309226227842	0.92823456920183	1.05448766493371
gene-LOC117892729	0	0	0	0	0	0
gene-LOC117896254	11.4797361198161	17.8770214183388	18.8509570966881	3.44618452455684	3.71293827680732	3.16346299480112
gene-LOC117896346	590.684603983266	573.116274882038	512.11766779336	535.020147437449	457.619642616502	510.372029827914
gene-LOC117896247	1020.65290228911	1055.79585317719	846.198518562443	948.56229038427	649.764198441281	781.375359715877
gene-LOC117896269	3590.02656837886	2563.77518928882	5158.87859212697	6006.69962630257	4315.36251221931	4529.02452089027
gene-LOC117896229	844.282410993749	764.505563007783	787.551096483858	909.792714483006	942.158087739857	788.756773370413
