C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W
gene-LOC117898586	1844.2287502098	2211.91564033609	1822.57408207324	1093.16951058281	2104.15002000326	1634.62097648567
gene-LOC117898434	27.5532183796285	36.3631035283059	43.3700348142073	26.8896946784796	28.8367155703364	50.3118265375613
gene-LOC117898574	674.135409688243	820.767193924618	703.214135916076	600.88125416141	805.567602706817	768.025433675426
gene-LOC117898502	2271.30363509404	2440.48371965687	2165.40388108078	1476.86476926419	2230.65948186022	2215.77391159301
gene-LOC117898518	294.819436662024	378.176276694381	339.731939377957	377.48994452481	333.947770637122	322.406398628454
gene-LOC117898421	6347.34307405374	5195.76802128736	6574.69075385852	10994.7824664199	5087.35475658612	6271.52319370254
gene-LOC117898541	3616.81913263256	3992.66876740798	3408.67821242139	2669.31930635215	3867.84075295028	3479.73020685297
gene-LOC117898528	4718.02942720505	5471.08866228739	4007.59774080806	4146.18407561634	5243.63115064472	4011.5980873929
gene-LOC117898596	14720.7661396228	16114.049592115	12868.5089013012	10773.4595948355	16347.6270784868	14259.8091215031
gene-LOC117898426	4223.90837759704	3493.97477616265	4343.1992006799	6161.87695747622	3810.16732180961	4290.88006327487
gene-LOC117898487	10832.0885856446	11908.3969326126	9362.76442048614	7794.90879968081	10506.7968505468	9745.09276873458
gene-LOC117898397	2855.43186474216	2033.21696013984	2687.90953860432	6309.77027820785	2108.80110315976	2539.20708219162
gene-LOC117898442	42645.0345267636	44778.5646305709	40157.5543783264	31371.999937577	41331.3853619738	40075.936767093
gene-LOC117898452	4485.66395220351	4617.07520227975	4649.88730400894	5222.80608178162	5561.76523854972	5619.52299265455
gene-LOC117898471	855.068210381136	1038.94581509445	743.486311100697	737.398165605999	920.914464988163	734.141958660334
gene-LOC117898505	3467.11331276991	3935.52674757779	3595.58241007309	3081.9726977642	3961.7926327117	4013.65163133321
gene-LOC117898572	1164.58269684563	1363.09690940392	1237.07861208144	1055.93762564337	1466.95162756195	1346.0980528723
gene-LOC117903746	2336.51291859249	2070.61900948325	2743.67101193688	3317.77463571395	2407.40064180744	2624.42915571442
gene-LOC117892013	20.2056934783942	13.5062955962279	19.6197776540462	13.4448473392398	13.0230328382164	8.2141757612345
gene-LOC117890087	9032.86342545486	9235.18935037459	9450.53710999108	8778.4510934975	10803.5359559318	11052.173486741
gene-LOC117903363	4955.9055458825	3035.79967170599	4581.73439215804	10174.6467787263	3348.77987268423	4265.21076402102
gene-LOC117903365	1281.22465465272	1497.12091955111	1247.40481084672	743.603479762571	1326.48891623547	1157.17201036391
gene-LOC117890272	0	0	0	0	0	1.02677197015431
gene-LOC117903464	2516.52727867273	2689.83071527954	2446.2764874966	1933.98957879834	2258.56598079925	2188.05106839884
gene-LOC117903466	4142.16716307081	4168.25061015895	4816.13910413007	5765.77107048169	5272.46786621506	5164.66300987619
gene-LOC117903463	4865.89836584238	4096.56334891743	4824.4000631423	7436.03479762571	4492.01611255337	4364.80764512598
gene-LOC117903469	0	0	0	0	0	0
gene-LOC117903467	0	0	1.03261987652875	0	0	0
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	0.918440612654282	1.03894581509445	4.13047950611498	0	0	4.10708788061725
gene-LOC117894778	0.918440612654282	0	0	1.03421902609537	0	0
gene-LOC117897509	2121.59781523139	1969.84126541908	2415.29789120074	2324.92437066239	2107.87088652846	2216.80068356316
gene-LOC117900915	635.560903956763	539.212878034021	636.093843941707	859.436010685253	530.223479841669	530.84110856978
gene-LOC117901768	614.436769865714	686.743183777434	768.269188137387	759.116765154002	708.825073051495	684.856904092927
gene-LOC117892351	85.4149769768482	56.1030740151005	121.849145430392	312.334145880802	75.3475471353951	74.9543538212648
gene-LOC117893052	326.04641749227	175.581842750963	239.567811354669	930.797123485833	326.506037586712	233.077237225029
gene-LOC117893057	0.918440612654282	0	1.03261987652875	2.06843805219074	0.930216631301174	3.08031591046294
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	408.706072631155	425.967784188726	456.417985425706	452.987933429772	452.085282812371	443.565491106663
gene-LOC117894226	13017.0588031491	15526.0062607715	13541.777060798	13459.3264056052	14990.4410134184	15704.4772835102
gene-LOC117903638	1887.39545900455	1644.65122529452	1730.67091306218	1654.75044175259	1676.25036960472	1707.52178636662
gene-LOC117903819	2113.3318497175	2247.2397980493	1991.92374182395	2068.43805219074	2190.66016671427	2113.09671457758
gene-LOC117903704	3865.71653866187	3753.71122993626	3794.87804624314	4633.30123690726	3263.19994260452	3618.3444228238
gene-LOC117892367	164.400869665116	191.166029977379	194.132536787404	113.764092870491	174.880726684621	234.104009195183
gene-LOC117903337	3434.04945071436	2871.64623292107	3373.56913661941	4495.75010643658	2845.53267515029	3050.53952332846
gene-LOC117894282	0	0	1.03261987652875	0	0	0
gene-LOC117892375	0	0	0	0	0	0
gene-LOC117889610	4387.3908066495	4075.78443261554	4652.98516363853	6337.69419191243	3959.9321994491	4394.58403226046
gene-LOC117889611	0	0	0	0	0	0
gene-LOC117889612	408.706072631155	359.475252022681	489.461821474625	543.999207726165	379.528385570879	453.833210808206
gene-LOC117897219	1592.57602234252	1105.4383472605	1539.63623590436	3763.52303596105	1173.00317207078	1406.67759911141
gene-LOC117896423	2510.09819438415	2148.53994561533	2771.55174860315	4289.9405202436	2323.68114499033	2465.27950034051
gene-LOC117901738	326.964858104924	215.061783724552	297.394524440279	439.543086090532	257.670006870425	296.737099374596
gene-LOC117895356	418.808919370352	525.706582437793	424.406769253314	609.155006370173	511.619147215646	654.053744988297
gene-LOC117895424	8358.72801576662	7640.40752420461	8640.96312679254	11357.7933445794	7525.4525472265	8115.60565209969
gene-LOC117893958	2108.73964665423	2335.55019233233	1929.96654923223	1436.53022724647	2258.56598079925	1980.64313042767
gene-LOC117893965	805.472417297805	836.351381151035	793.052065174077	381.626820629192	867.892117003996	792.66796095913
gene-LOC117893974	108.375992293205	118.439822920768	113.588186418162	66.1900176701037	135.811628169971	121.159092478209
gene-LOC117893951	887.213631824036	890.376563535946	755.877749619042	496.425132525778	810.218685863323	698.204939704933
gene-LOC117899032	720.975880933611	645.185351173655	588.593329621385	837.71741113725	599.059510557956	559.5907237341
gene-Trnag-gcc	1.83688122530856	2.07789163018891	0	4.13687610438148	4.65108315650587	1.02677197015431
gene-LOC117892385	0	0	0	0	0	0
gene-LOC117902577	99.1915861666624	92.4661775434063	87.7726895049434	175.817234436213	128.369895119562	79.0614417018821
gene-LOC117895077	0	0	0	0	0	0
gene-LOC117892404	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0
gene-LOC117891248	2.75532183796285	3.11683744528336	4.13047950611498	0	3.7208665252047	3.08031591046294
gene-LOC117892461	0	0	0	0	0	0
gene-LOC117901524	4486.58239281617	3912.66993964571	5376.85169708518	4972.52507746654	3921.79331756575	4529.09116035067
gene-LOC117892471	22.0425747037028	33.2462660830225	2.06523975305749	22.7528185740981	55.8129978780705	4.10708788061725
gene-LOC117900768	361.865601385787	351.163685501925	363.482196538118	597.778597083124	349.761453369242	424.056823673731
gene-LOC117900589	4838.34514746276	3412.93700258528	5125.92506708869	10443.5437255111	3814.81840496612	4931.58577265116
gene-LOC117900729	0	0	0	0	0	0
gene-LOC117900761	0	1.03894581509445	2.06523975305749	5.17109513047685	0	2.05354394030863
gene-LOC117900739	0	0	0	0	0	0
gene-LOC117900717	2.75532183796285	1.03894581509445	1.03261987652875	3.10265707828611	0	0
gene-LOC117900753	0	0	0	0	0	0
gene-LOC117892481	0	2.07789163018891	2.06523975305749	4.13687610438148	1.86043326260235	5.13385985077156
gene-LOC117903160	0	0	0	0	0	0
gene-LOC117890984	13.7766091898142	21.8178621169835	27.8807366662761	29.9923517567657	26.9762823077341	69.8204939704933
gene-LOC117896741	9.18440612654282	3.11683744528336	9.29357888875871	9.30797123485833	16.7438993634211	59.5527742689501
gene-LOC117896721	8.26596551388854	0	4.13047950611498	20.6843805219074	0.930216631301174	11.2944916716974
gene-LOC117896749	11.0212873518514	9.35051233585008	42.3374149376786	19.650161495812	13.0230328382164	27.7228431941664
gene-LOC117896730	2044.44880376843	2159.96834958137	1776.10618762944	1072.4851300609	1871.59586217796	1699.30761060539
gene-LOC117889638	3580.99994873904	3086.70801664562	3509.87496032121	3987.94856462375	2870.64852419542	3257.94746129963
gene-LOC117889639	94037.2974484466	83732.7990217224	105983.973647404	116468.57562373	90154.7354724472	102616.617469192
gene-LOC117890361	0	2.07789163018891	0	0	1.86043326260235	0
gene-LOC117902120	1046.10385781323	837.390326966129	914.901210604469	1888.48394165015	781.381970292986	1005.20975878107
gene-LOC117891813	0	0	4.13047950611498	2.06843805219074	0.930216631301174	0
gene-LOC117891157	1.83688122530856	1.03894581509445	5.16309938264373	2.06843805219074	4.65108315650587	8.2141757612345
gene-LOC117893744	0.918440612654282	3.11683744528336	3.09785962958624	0	4.65108315650587	0
